Drive File ID,Filename,Parent folder,Image dimensions,Used / Unused,Existing linked Experience,Main physical object or location,Unused reason
1HrmNWE_LZRFaw0klD2y6QSIo4YGj-8zr,IMG_9697.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU015 — Swing Frame,Outdoor swing frame,
1kuBn4kMcYDHc5t8Fj6FwOw5oYytkVzUz,IMG_9710.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU023 — Timber Grain Wall,Horizontal timber wall,
1kQF2FVS4VykNDtNYg2oiUdIbMRMQvUlU,IMG_9647.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Coconut palm,Same coconut-tree object already represented by IMG_9646.
1JT0vcxTk1ZaYq3r0gxhbx4suaC_aCFzQ,IMG_9724.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU031 — Feel Well Gate,Feel Well activity gate,
1aD6vHYSIK-TC76D7TDSVCZKIm2QMr8vO,IMG_9716.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Beachfront tree trunk,Same beachfront tree object/zone represented by IMG_9715.
1s_SJ0ltJfD4EHJoczFcs2rQ2diV9xvPh,IMG_9712.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Wall drainage outlet,Maintenance drainage detail; weak participant clue.
1SKzh445Ie_6iQAuF7uyjmnNhQxn-iUfq,IMG_9730.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU033 — Termite Mound,Termite mound,
1qApLcpNwA6ad69jpPL3E8rN6j4MD0qT4,IMG_9726.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU032 — Tree Medallion,Circular marker embedded in tree,
1dSXAJz6LdWyMdLwZeROhSwfo6vgedbYO,IMG_9728.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Beachfront tree grove,Repeated beachfront grove with no independently distinct marker.
1jkirvXLpDYEA6S8cUuxeSeXy0Pp8nmj5,IMG_9690.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB01 — The Fragment,Paris fragment artwork,
12BZOYIXzMqYwXutSUQa_JnRP5vBxOlO2,IMG_9729.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Loose leaf litter,"Transient leaf litter, not a stable physical object."
1nITVrfFLPwbQ7QlgQ0pVpoBWi6cpEJ9T,IMG_9698.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Outdoor swing frame,Alternate angle of the swing frame represented by IMG_9697.
1efPkrvvpjXOEm4NVqn8L1R2tbXIOudnx,IMG_9645.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU001 — Pool Overview,Swimming pool overview,
1NnJzYWjLyKea795mCbqFVHvzmtD1RaOY,IMG_9732.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Wall pipe outlet,Maintenance pipe outlet; weak and unsuitable clue.
1IGruOfxRSc5B3wLDZsWJjmuuZSsJbJkA,IMG_9745.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU044 — Garden Boulders,Garden boulders,
1Tkkuc27TVGVSirYQwF-03wSdOfiQ9sWN,IMG_9739.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU038 — Terrace Lounge,Covered terrace lounge,
1IP_whv3b_2EXq3lSvpPkT3_JDEUSrRYT,IMG_9746.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU045 — Tiki Pavilion,Tiki pavilion entrance,
1G62Zn9rWLL_th2BEHAhPlCCHNLHAvOBo,IMG_9646.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB12 — Crown Estimate,Coconut cluster,
1pue1S2buykVNyp5y2b0YlTyulEVXWwQ2,IMG_9696.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU014 — Seafront Promenade,Paved seafront promenade,
1EgAt7c2WRC23yseTGqlyihRr7PvChRNT,IMG_9702.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB17 — Twenty Seconds of Island,Beachfront lawn and shade trees,
1Nm6t9d60drlPIl3hbwmSgVN7aodt9yO2,IMG_9700.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU017 — Service Walkway,Building-side service walkway,
1aZRdaa26ADrxNApU5UgLOt7VHysZtImt,IMG_9731.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU034 — Rope Station,Wall-mounted rope station,
1b2YpyCKXIhDbTTmxm5YAk62_Be95rNbc,IMG_9750.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Habura printed reference panel,"Printed reference panel, not a confirmed permanent Bayu venue feature."
18AklBFiFLaSwhTNT8uv8A39-Nb5vl62z,IMG_9740.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU039 — Woven Halo,Single woven pendant lamp,
1FB9maRLTIQl7xgaFJBWqNWWuoQKWOX_7,IMG_9744.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU043 — Blue Rabbit,Blue rabbit sculpture,
1g3kJxlpMmAtSBUzImcfXONx-vrSQBALW,IMG_9668.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU006 — Silver Garden Wall,Silver floral wall pattern,
1KpbsG3rEkRSGTDD0UpQUejvb-ZrU4Cxy,IMG_9692.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU013 — Bayu Address Sign,Bayu Management Corporation sign,
1-SXo4VcfA-JjTwl6J9xEEiwRAIQyurtN,IMG_9695.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB08 — Deepest Point,Swimming-pool depth warning sign,
1AvKzi6tjX785GBhBxZQEFDxolCABSIox,IMG_9733.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU035 — Yellow Hydrant,Yellow fire hydrant,
1PEy05UtqtP7rlA1UwNYqdY8DE8AfvDu4,IMG_9743.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU042 — Bottle Niche,Decorative bottle niche,
1LsrkNMQZNFcYsnLevczZcB6w4Q9vEU9j,IMG_9714.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU024 — Lone Palm,Single palm beside building,
1fDg6dIzV7MI1gO018vSVxxoD5S61hHNZ,IMG_9651.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU002 — Grand Stage,Ballroom stage,
1NqnR0iNghV2jeSxbF_TOIHPEEUNmtenV,IMG_9658.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Ink mountain painting,Alternate shot of the ink painting already represented by IMG_9656.
1CbVpKOctswQS28GmjnLdsslp-zizsp8J,IMG_9741.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU040 — Stage Rig,Black stage lighting rail,
1jaaGxtHti0us3wPPbZ5LTgetlc3gdLcZ,IMG_9735.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Prepared buffet tray,Temporary buffet food; not a permanent venue object.
1D9x9IaUiSrpYJLhCtBdJIvUcjGtKjpFK,IMG_9708.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU021 — Sixty-Metre Marker,Main Entrance 60 m sign,
1FRZ6PgHgy0z2DUOMz1Cyl2LK3OZLr0Aw,IMG_9659.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Ink mountain painting,Alternate shot of the ink painting already represented by IMG_9656.
1_mvHmNCX_SjuFV8nxYGAyN_hcqmpq1qS,IMG_9648.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Air-conditioning unit and open ceiling service area,Maintenance/service area; unsuitable and potentially unsafe clue location.
1N26InSrP4vbYGrBYekF8MZXochE0Iu20,IMG_9742.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU041 — Basket Lights,Basket pendant-light cluster,
1xePOSKoKwFbHENXvsJ3UskdkC-8giUfT,IMG_9734.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,BBO046 — Control Panel,Twin instrument gauges,
1_zXYHpmlvaoJHUitWWIm5mpfSDUmfqZ5,IMG_9749.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Outdoor service unit and planter,Service unit lacks a clear safe participant-facing landmark.
1x4HWaLqm5DViW6CRiHoM-8lLNvvwF52G,IMG_9669.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB07 — What goes up must come down; LAB14 — Capacity Reached,Elevator capacity sign,
1UY4eCpzrTBkcbkElz34YL7I1bGDAgtro,IMG_9694.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,"LAB10 — Two Arrows, One Escape; LAB15 — Arrow Relay; BBO054 — Four Dark Windows",Beach direction mural,
1PKGmvG6SGd-RD6Q6Fqpjk_kVyVRycDw9,IMG_9683.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU010 — Rescue Vessel,Display rescue boat,
1IkbT0t2cV7_simEOHg9Pv3aLpZopD8u1,IMG_9738.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Outdoor dome oven,Alternate angle of the dome oven represented by IMG_9737.
1VDf-P5OqCKIkrYD05Dg3o8nyqpN7LMn7,IMG_9693.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Bayu Management Corporation sign,Alternate angle of the management sign represented by IMG_9692.
1-tFRVX_ddw3U9mVIbMJF060GQNTC4bGs,IMG_9737.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU037 — Dome Oven,Outdoor dome oven,
1CqZVO56KUqxj_-yMyt33lXHLCdGvDNAT,IMG_9682.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU009 — Merchant Marker,Merchant information plaque,
1P0nHMIJ4jpj6CTy6LbWlXb5cecP-AoI1,IMG_9711.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Display rescue boat,Rear view of the rescue boat represented by IMG_9683.
1a3Jzj_G57axGDoQA7HAvRaUAzcWgpuAc,IMG_9674.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Pool and resort panorama,Second pool overview; pool location already represented by IMG_9645.
1fbLhXsZmhlmtjbowQogwGx1zHqAypETO,IMG_9649.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,BBO009 — Silent Assembly; BBO011 — Ground Signal,Ballroom overview,
1L5qhkH-ar571pNKoyVh2uJs39QMunZax,IMG_9684.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,BBO027 — Garden Terrace Signal; BBO030 — Green Guard,Garden Terrace entrance and swing,
1kz_25NFwTqi7VdtXFngwCIBzghzoZAqV,IMG_9747.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB06 — Swinging Signal,Yellow flowering plant,
1nlWCrWJ0r8LRyfMKvp1RIoEqcA7jaygd,IMG_9736.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU036 — Twin Vases,Decorative vase display,
1T_O8umFjtfwBLNFsEupJJao2_rHYN-IW,IMG_9653.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Ballroom ceiling-light array,Repeated view of the ceiling-light object already represented by IMG_9652.
1e4tPj_igQCxrJ0G9iaY6CGH0DRADaVap,IMG_9704.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB02 — Horizon Lock,Offshore island and headland,
1F_Fmf4AZ4-kbb0s5MpSeU5tIMkIMZIFD,IMG_9654.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,BBO018 — Silver Monolith,Faceted silver column,
1Ly5KUdhCdgQiDWGcC3GOdL2cpSoN7mb5,IMG_9691.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB04 — Seven Silent Boxes,Numbered mailbox set,
14kmD8HzOoZpUA189VFMdhXR8L-x4nBsl,IMG_9657.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Ink mountain painting,Alternate shot of the ink painting already represented by IMG_9656.
1qCekxdpWFBIoYRVXfr7RCwebxQPlWBW3,IMG_9685.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU011 — Terrace Dining Hall,Garden Terrace dining interior,
1p9d8TPIyngOfqF_8-3YjsllUE898phOy,IMG_9705.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU019 — Open Shoreline,Open sandy shoreline,
10dJvPr5eXdAoriYKVBMNB3TC2zFokCp-,IMG_9681.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU008 — Perak Crest,BPR Perak commemorative plaque,
1CDG8bHOI9zfEx0ed-LsFqELWh3ASCxQR,IMG_9656.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB11 — Ink Mountain Count; LAB16 — Three-Layer World,Ink mountain painting,
1qMXaekglnqHRTq5YKXnEhCSYdAcOJ2rW,IMG_9686.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU012 — Four-Point Light,Four-point ceiling fixture,
18Ki55UoFMZTCJ44MYn7cg-oTmzCXtg8P,IMG_9666.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU004 — Green Urn,Green ceramic urn,
1heAQKMDRUyEHT4AmZYaNQMqEg1sikvJ3,IMG_9664.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Framed orchid artwork,Second orchid-art view; physical-object mechanic already represented by IMG_9655.
1JKkrtQF23yXpFjL8l6wCmLE1yIIHQo-Z,IMG_9655.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU003 — Orchid Study,Framed orchid artwork,
1cdqgPOCfsGbBypH5AsZDCILSXAPizHEA,IMG_9670.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU007 — Vintage Cabinet,Freestanding wooden cabinet,
1zKr9rlhYLC1g5nAyOisF8CXZX5Iu138X,IMG_9665.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Green ceramic urn,Top-down alternate of the green urn represented by IMG_9666.
1FAhs4B8cuH1T2OXiJIyFve3Heqcu0Fnw,IMG_9661.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Artificial flower arrangement,Movable artificial arrangement; duplicate of IMG_9662 and not a stable venue marker.
1IrswX1X5IgftpCu98U00diETPILURk4T,IMG_9660.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Ink mountain painting,Alternate shot of the ink painting already represented by IMG_9656.
1RSxeKUy7cJ-nUrkKYROdU8vXjm8P3vkM,IMG_9748.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Red flowering plant,Repeated flower-identification mechanic; plant may change seasonally.
1vplQushBd6FvgrgfznqZEu5jgm9MrJEt,IMG_9663.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB03 — The BBR Relic; BBO015 — Fabric Code,BBR-marked iron,
1R58WLDxrR3FoEjIVnKIHSHPJ4hbstyF6,IMG_9667.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU005 — Timber Rhythm,Vertical timber screen,
1OHoO2q9Rn_2_fFK_TKwutj1FFb4tEEPa,IMG_9652.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — existing,LAB05 — Eight-Ray Beacon,Petal ceiling light,
1KATQkxRBx7Va4_onmnH3a8MrCHN466Dz,IMG_9662.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Artificial flower arrangement,Movable artificial arrangement; duplicate of IMG_9661 and not a stable venue marker.
